id,receipt_id,agency_id,shipped_at,cases
1,1,nueva-vida,2026-06-03,4
2,2,nueva-vida,2026-06-03,2
3,3,nueva-vida,2026-06-03,5
4,1,redland-kitchen,2026-06-04,1
5,2,redland-kitchen,2026-06-04,1
6,3,redland-kitchen,2026-06-04,6
7,4,redland-kitchen,2026-06-04,4
8,3,cutler-bay-baptist,2026-06-05,2
9,4,cutler-bay-baptist,2026-06-05,2
10,4,naranja-esperanza,2026-06-06,2
11,4,florida-city-shelter,2026-06-07,1
12,1,goulds-mobile,2026-06-08,4
13,3,goulds-mobile,2026-06-08,5
14,5,goulds-mobile,2026-06-08,2
15,3,perrine-senior,2026-06-09,4
16,5,perrine-senior,2026-06-09,5
17,3,leisure-city-school,2026-06-10,2
18,7,leisure-city-school,2026-06-10,3
19,7,princeton-methodist,2026-06-11,4
20,1,palmetto-bay-community,2026-06-12,4
21,7,richmond-heights-ame,2026-06-13,4
22,3,homestead-bethel,2026-06-14,4
23,6,homestead-bethel,2026-06-14,1
24,9,homestead-bethel,2026-06-14,2
25,1,nueva-vida,2026-06-17,1
26,11,redland-kitchen,2026-06-18,2
27,2,princeton-methodist,2026-06-20,2
28,11,florida-city-shelter,2026-06-21,4
29,3,naranja-esperanza,2026-06-27,5
30,14,naranja-esperanza,2026-06-27,5
31,6,goulds-mobile,2026-06-29,6
32,7,nueva-vida,2026-07-01,2
33,10,nueva-vida,2026-07-01,4
34,10,princeton-methodist,2026-07-02,1
35,11,princeton-methodist,2026-07-02,5
36,16,princeton-methodist,2026-07-02,1
37,20,princeton-methodist,2026-07-02,5
38,18,redland-kitchen,2026-07-02,3
39,8,cutler-bay-baptist,2026-07-03,2
40,10,cutler-bay-baptist,2026-07-03,4
41,15,cutler-bay-baptist,2026-07-03,4
42,18,cutler-bay-baptist,2026-07-03,1
43,16,palmetto-bay-community,2026-07-03,3
44,3,florida-city-shelter,2026-07-05,2
45,7,florida-city-shelter,2026-07-05,5
46,11,homestead-bethel,2026-07-05,6
47,11,perrine-senior,2026-07-07,1
48,21,perrine-senior,2026-07-07,5
49,3,leisure-city-school,2026-07-08,1
50,15,leisure-city-school,2026-07-08,4
51,11,richmond-heights-ame,2026-07-11,1
52,19,richmond-heights-ame,2026-07-11,3
53,15,nueva-vida,2026-07-15,4
54,23,nueva-vida,2026-07-15,1
55,11,redland-kitchen,2026-07-16,3
56,12,redland-kitchen,2026-07-16,3
57,22,redland-kitchen,2026-07-16,6
58,26,naranja-esperanza,2026-07-18,4
59,15,florida-city-shelter,2026-07-19,3
60,24,florida-city-shelter,2026-07-19,3
61,27,florida-city-shelter,2026-07-19,5
62,18,goulds-mobile,2026-07-20,1
63,19,goulds-mobile,2026-07-20,5
64,21,princeton-methodist,2026-07-23,3
65,26,princeton-methodist,2026-07-23,3
66,30,princeton-methodist,2026-07-23,6
67,32,princeton-methodist,2026-07-23,5
68,9,palmetto-bay-community,2026-07-24,4
69,23,palmetto-bay-community,2026-07-24,5
70,32,palmetto-bay-community,2026-07-24,5
71,7,homestead-bethel,2026-07-26,1
72,32,nueva-vida,2026-07-29,2
73,13,redland-kitchen,2026-07-30,5
74,22,redland-kitchen,2026-07-30,2
75,35,redland-kitchen,2026-07-30,5
76,21,cutler-bay-baptist,2026-07-31,6
77,33,cutler-bay-baptist,2026-07-31,3
78,34,cutler-bay-baptist,2026-07-31,2
79,34,nueva-vida,2026-08-01,2
80,8,florida-city-shelter,2026-08-02,2
81,29,florida-city-shelter,2026-08-02,6
