id,received_at,donor,channel,brand,product,size,upc,lot,best_by,cases,storage,notes
1,2026-06-01,Publix #0455 retail rescue,retail_rescue,,Publix Bakery day-old bread assortment,,,,,14,dry,
2,2026-06-02,Statewide Food Co-op purchase order,purchase,Ghirardelli,Semi-Sweet Chocolate Chips,12 oz,747599304309,L6152 B,2027-03-18,5,dry,baking allocation for holiday boxes
3,2026-06-03,USDA Foods TEFAP delivery,tefap,USDA Foods,Canned Pears in Juice,15 oz,,TEF-2026-1183,2028-01-31,36,dry,
4,2026-06-04,Walmart Supercenter #1234 retail rescue,retail_rescue,Great Value,Shredded Mozzarella,8 oz,,,2026-07-02,9,refrigerated,
5,2026-06-06,Target T-2261 retail rescue,retail_rescue,,Good & Gather Baby Spinach 5 oz clamshell,,,,,7,refrigerated,"short shelf life, move first"
6,2026-06-08,Aldi #78 retail rescue,retail_rescue,,Millville Crispy Oats cereal 18 oz,,,,,11,dry,
7,2026-06-09,Statewide Food Co-op purchase order,purchase,Goya,Black Beans,15.5 oz,041331025508,G6161,2028-06-01,40,dry,
8,2026-06-11,Publix #1130 retail rescue,retail_rescue,Publix,Rotisserie Chicken,,,,,6,refrigerated,same-day move only
9,2026-06-12,USDA Foods TEFAP delivery,tefap,USDA Foods,Frozen Chicken Leg Quarters,40 lb,,TEF-2026-1204,2027-02-28,24,frozen,
10,2026-06-15,Walmart Supercenter #1234 retail rescue,retail_rescue,,Great Value Long Grain White Rice 5 lb,,,,,18,dry,
11,2026-06-16,Cutler Bay High School student food drive,food_drive,,"Assorted shelf-stable donations, student drive",,,,,22,dry,"unsorted, mixed brands, no invoice"
12,2026-06-18,Statewide Food Co-op purchase order,purchase,Barilla,Penne Rigate,16 oz,076808280159,B6155,2028-02-14,32,dry,
13,2026-06-20,Publix #0455 retail rescue,retail_rescue,Publix,2% Reduced Fat Milk,1 gal,,,2026-06-27,12,refrigerated,
14,2026-06-22,Target T-2261 retail rescue,retail_rescue,,Good & Gather Frozen Broccoli Florets 12 oz,,,,,10,frozen,
15,2026-06-24,USDA Foods TEFAP delivery,tefap,USDA Foods,"Peanut Butter, Smooth",40 oz,,TEF-2026-1231,2027-11-30,30,dry,
16,2026-06-26,Aldi #78 retail rescue,retail_rescue,,Season's Choice Frozen Mixed Vegetables 16 oz,,,,,15,frozen,
17,2026-08-24,Walmart Supercenter #1234 retail rescue,retail_rescue,Great Value,Organic Triple Berry Blend,10 oz,,,,30,frozen,pallet split across three agency deliveries
18,2026-06-29,Statewide Food Co-op purchase order,purchase,Del Monte,Sliced Peaches in 100% Juice,15 oz,024000163008,DM6178,2028-04-30,28,dry,
19,2026-07-01,Walmart Neighborhood Market #5589 retail rescue,retail_rescue,,Sara Lee Butter Bread 20 oz,,,,2026-07-08,16,dry,
20,2026-07-02,Publix #1130 retail rescue,retail_rescue,Publix,Deli Sliced Turkey Breast,1 lb,,,2026-07-09,5,refrigerated,
